Korean Egg Bread,
Serves 4 /,
5,medium eggs
250g,self-raising flour
75g,mature Cheddar cheese
1.25 tsp,salt
1.5 tsp,baking powder
1 tsp,hot smoked paprika
0.5 tsp,chilli flakes
20g,fresh parsley
100g,unsalted butter
240ml,whole milk
,
