Sweet potato and tenderstem bibimbap,4
4.5 tbsp ,gochujang paste
3 tbsp ,toasted sesame oil
1.5 tbsp ,light soy sauce
1.5 tbsp ,brown rice syrup
1.5 tbsp ,rice wine vinegar
2.5 tbsp ,soy sauce
2.5 tbsp ,toasted sesame oil
1 clove, garlic
3 tbsp ,rapeseed oil
500g ,sweet potatoes
300g ,Tenderstem broccoli
4,medium eggs
2,avocados
optional: ,a handful of mixed seeds
350g ,sushi or short-grain rice
