Faux Gras,
2,sprigs fresh rosemary
3,sprigs fresh thyme
7,sage leaves
2 tbsp ,olive oil
1,eschalion (banana) shallot
a pinch,salt
2 cloves,garlic
18,button mushrooms
2 tbsp ,cognac
150g ,walnuts
400g or 180g dry cooked ,lentils
2.5 tbsp,soy sauce
1/2 or 1 very small (about 30g),cooked beetroot
100g ,dairy-free butter
a few ,peppercorns
To serve ,good-quality toasted sourdough bread or baguette
,
,
,
,
,
,
,
,
,
,
