Chilli Tofu4 /,
800g,firm tofu
,cornflour
,rapeseed oil
2 tsp,cumin seeds
1,onion
6,cloves of garlic
3,ginger
4,green finger chillies
0.25 tsp,ground black pepper
2 tbsp, tomato puree
2 tbsp ,light soy sauce
2 tsp,caster sugar
0.75 tsp,salt
2,"peppers (1 red and 1 green, ideally)"
