Black-eyed bean and chickpea usal,4
4 tbsp ,rapeseed oil
2,red onions
2,green finger chillies
4,cloves of garlic
2,big vine tomatoes
1.75 tsp ,salt
1 tsp ,Kashmiri chilli powder
1 tsp ,garam masala
1 tsp ,ground cumin
0.5 tsp ,ground turmeric
1,400g tin of black-eyed beans
250g ,frozen petit pois
1,400g tin of chickpeas
200g ,mangetout
1 tbsp ,lemon juice
a handful, fresh coriander leaves
