Chickpeas cacio e pepe,4
300g ,dried chickpeas
1 tsp ,bicarbonate of soda
3 tbsp ,olive oil
8,garlic cloves
80g ,Parmesan
0.25 tsp ,bicarbonate of soda
2,red chillies
2 tbsp ,apple cider vinegar
250g ,baby spinach
15g ,parsley
100g ,unsalted butter
,salt and black pepper
,
,
,
