5-a-day toad-in-the-hole,4
4,large eggs
350ml ,whole milk
2 tbsp ,English mustard
230g ,plain flour
1 tsp ,salt
4 tbsp ,sunflower oil
12 (480g) ,large celeriac
350g (about 2),beetroot
0.5 (350g) ,large swede
75ml, olive oil
2 tbsp ,tomato paste
2 tbsp ,maple syrup
200g ,datterini or regular cherry tomatoes
2,rosemary sprigs
,salt and black pepper
