Sweet Spiced Mushroom and rice pilaf,4
1-2 (15g) ,dried ancho chillies
30g ,dried porcini mushrooms
500ml ,vegetable stock
500g ,oyster mushrooms
500g ,large portobello mushrooms
1,large onion
10 cloves,garlic
3,cinnamon sticks
4,whole star anise
150g ,soft dried apricots
150ml ,olive oil
350g,basmati rice
3,spring onions
5g ,picked parsley
,salt and black pepper
