Sunny Sri Lankan curry,4
1 (about 400g) ,small butternut squash
1 tsp ,vegetable oil
20g ,cashews
2,shallots
3,large garlic cloves
5cm ,????? fresh ginger
1,fresh greenbird's-eye chilli
1,red pepper
1,orange pepper
1 tsp ,coconut oil
1 tsp ,ground turmeric
1 tbsp ,curry powder
1 tbsp ,black mustardseeds
1 tbsp ,tomato puree
15,curry leaves (plus garnish)
200ml ,coconut milk
10g ,desiccated coconut
100g ,fresh baby spinach leaves
0.5,lime
10g ,fresh coriander
,salt and black pepper
