"Honey, Soy and ginger braised tofu",2
1,280g pack of extra-firm tofu
2 tbsp,light soy sauce
1.5 tbsp,honey
3,cloves of garlic
1.5cm,ginger
1,apple
4,spring onions
2 tbsp,toasted sesame oil
1.5 tsp,gochujang paste
2 tbsp,rapeseed oil
a handful,black and white sesame
serve with ,basmati rice
