Sun House Chilli Eggs,
Serves 2/,
2 tbsp ,unsalted butter
1,small red onion
1.5,green finger chillies
2,cloves of garlic
200g,tomatoes
0.5 tsp ,salt
4,medium eggs
40g ,mature Cheddar cheese
a little ,fresh coriander
,
,
,
,
,
